DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Price,Eco2_A,Eco2_B,Eco3_A,Eco3_B,Shops2_A,Shops2_B,LifeSquare_index
27,3,2.9480546,-0.05339828,0.11605331,4,10,2014,-0.36493102,11,3097,0,-0.16924,0,0,305018.88,0,1,0,1,0,1,3.9976785
22,1,-0.8156022,-0.17910881,0.045898676,7,8,1966,-0.0026897993,30,6207,1,0.20979875,1,0,177734.55,0,1,0,1,0,1,0.14685918
1,3,1.1118888,0.14134903,0.11605331,2,17,1988,-0.78347254,33,5261,0,-1.0532173,3,1,282078.72,0,1,0,1,0,1,-0.016318714
1,1,-0.7867029,-0.05339828,-0.19964257,10,22,1977,-0.9387989,1,264,0,-0.16924,0,1,168106.0,0,1,0,1,0,1,-0.8998714
94,2,0.40829876,0.022211524,0.080975994,16,16,1972,1.3774247,33,8667,2,-0.16924,0,6,343995.1,0,1,0,1,0,1,0.034620676
99,3,0.3203773,0.13391867,-0.024255967,9,9,1972,-0.89496934,35,5776,1,1.4085256,2,4,161044.94,0,1,0,1,0,1,-0.6960133
44,1,-1.1105978,-0.19737013,0.080975994,1,12,1968,0.95234597,24,4860,1,-1.2675148,0,3,142402.73,0,1,0,1,0,1,-0.19834779
59,2,-0.2870875,-0.051933557,0.045898676,8,17,1986,-0.83472776,37,7687,11,-1.1389363,5,5,326174.2,0,1,0,1,0,1,-0.25596574
1,1,-0.46246612,0.10154036,-0.19964257,12,20,1977,-0.9387989,1,264,0,-0.16924,0,1,160400.4,0,1,0,1,0,1,-1.2916338
6,3,1.1882312,0.49987048,-0.19964257,3,17,2014,1.0447632,5,1564,0,-0.65140945,0,0,194756.03,0,1,0,1,0,1,-1.2635401
2,3,0.9045146,0.10294966,0.11605331,5,14,2008,-0.7033501,42,9292,3,2.1344585,0,3,512797.38,0,1,0,1,0,1,0.016476661
88,2,-0.107734405,-0.035450447,0.045898676,2,12,1978,0.07157142,43,8429,3,-0.16924,3,9,253124.0,0,1,0,1,0,1,-0.15185905
93,1,-0.4286035,-0.17380941,0.22128527,9,24,2012,-0.57097846,43,10621,1,-1.3344828,2,3,199556.86,0,1,0,1,0,1,0.78896385
90,2,-0.61346674,-0.14059065,-0.059333283,5,9,1969,1.2286339,37,5288,0,1.2196759,3,2,213001.52,0,1,0,1,0,1,0.062421888
36,3,1.2947077,0.08925532,0.11605331,2,22,2008,-0.26246524,8,1497,5,-0.16924,1,0,481360.38,0,1,0,1,0,1,0.48593676
96,1,-0.97372246,-0.2691369,0.080975994,3,12,2003,-0.65318114,53,14892,4,-0.16924,1,4,168143.34,0,1,0,1,0,1,1.2930299
48,1,-0.56570584,-0.1651041,0.045898676,7,12,1981,-0.6531115,46,9515,5,-0.16924,1,10,207633.66,0,1,0,1,0,1,0.42661852
8,2,-0.33693013,-0.11201143,-0.059333283,6,5,1962,2.8509405,26,4439,1,0.13881269,1,5,186971.92,0,1,1,0,0,1,0.20337446
1,1,-0.42770058,-0.05339828,-0.19964257,16,16,1977,-0.9387989,1,264,0,-0.16924,0,1,128803.59,0,1,0,1,0,1,-0.4290963
45,1,-0.6887318,0.04117543,-0.19964257,16,14,2015,0.64631134,23,5212,6,-0.16924,3,2,250466.98,0,1,0,1,0,1,-1.2739576
63,1,-0.2579033,-0.05339828,-0.19964257,7,16,2018,1.0062201,26,3889,6,-0.4304151,3,6,260328.4,0,1,0,1,0,1,-0.20643371
20,3,0.9751887,0.13902958,0.045898676,11,9,1976,-0.83472776,37,7687,11,-1.1389363,5,5,366916.25,0,1,0,1,0,1,-0.12684283
